Nombre,Club,Minutos,Goles,Asistencias,Amarillas,Rojas
Fran Merida,Osasuna,1161,0,1,9,1
Mikel Merino,Real Sociedad,3139,5,1,9,0
Sabin Merino,Leganes,78,0,0,0,0
Roque Mesa,Leganes,2012,1,3,11,0
Lionel Messi,Barcelona,2880,25,21,4,0
Michel,Valladolid,2178,1,2,6,0
Miguel,Valladolid,232,0,0,1,0
Eder Militao,Real Madrid,1022,0,0,3,0
Santi Mina,Celta Vigo,1944,6,3,4,0
Jorge Miramon,Levante,2432,0,3,4,1
Luka Modric,Real Madrid,1996,3,7,7,1
Jorge Molina,Getafe,1886,5,3,6,1
Jon Moncayola,Osasuna,1496,1,0,4,0
Nacho Monreal,Real Sociedad,2390,2,0,3,0
Joan Monterde Raygal,Levante,9,0,0,0,0
Angel Montoro,Granada,973,2,5,6,0
Alvaro Morata,Atletico Madrid,2098,12,2,6,1
Alberto Moreno,Villarreal,1471,0,0,6,0
Alex Moreno,Betis,2265,0,4,5,0
Gerard Moreno,Villarreal,2744,18,5,5,0
Manu Morlanes,Villarreal,253,0,1,0,0
Loren Moron,Betis,2031,10,3,2,1
Toni Moya,Atletico Madrid,4,0,0,0,0
Javi Moyano,Valladolid,2227,0,0,4,0
Iker Muniain,Athletic Club,2382,5,2,4,1
Aihen Munhoz,Real Sociedad,981,0,0,1,0
Javier Munhoz,Alaves,52,0,0,0,0
Jeison Murillo,Celta Vigo,1529,1,0,5,0
Nacho,Real Madrid,439,1,0,3,0
Nacho,Valladolid,1893,0,2,2,0
Naldo,Espanyol,1332,0,1,8,1
Marc Navarro,Leganes,219,0,0,1,0
Ximo Navarro,Alaves,1903,0,0,8,0
Jesus Navas,Sevilla,3369,0,7,4,0
Raul Navas,Osasuna,711,0,0,2,0
Neto,Barcelona,180,0,0,0,0
Carlos Neva,Granada,2205,0,1,2,0
Saul NHiguez,Atletico Madrid,3072,6,0,10,0
Fernando Ninho,Villarreal,83,1,0,1,0
Nolito,Celta Vigo,324,2,1,3,1
Nolito,Sevilla,898,3,0,0,0
Unai Nunhez,Athletic Club,1572,0,0,7,0
Allan Nyom,Getafe,2422,2,0,13,2
Jan Oblak,Atletico Madrid,3395,0,0,0,0
Rafael Obrador,Mallorca,4,0,0,0,0
Lucas Ocampos,Sevilla,2745,14,3,10,1
Alvaro Odriozola,Real Madrid,343,0,1,3,1
Lucas Olaza,Celta Vigo,3144,1,3,5,0
Oier Olazabal,Espanyol,180,0,0,0,0
Kiko Olivas,Valladolid,2943,2,0,2,0
Paulo Oliveira,Eibar,2090,1,0,7,1
Mathias Olivera,Getafe,1870,0,1,7,1
Kenneth Omeruo,Leganes,1874,1,0,5,0
Javier Ontiveros,Villarreal,889,2,1,2,0
Fabian Orellana,Eibar,2390,8,7,9,1
Aimar Oroz,Osasuna,11,0,0,0,0
Mikel Oyarzabal,Real Sociedad,3051,10,11,4,0
Fernando Pacheco,Alaves,2358,0,0,0,1
Jon Pacheco,Real Sociedad,77,0,0,0,0
Daniel Parejo,Valencia,3024,8,3,6,1
Miquel Parera,Mallorca,90,0,0,0,0
Thomas Partey,Atletico Madrid,2549,3,0,13,0
Paulino,Alaves,75,0,0,0,0
Gabriel Paulista,Valencia,2801,1,1,5,0
Alfonso Pedraza,Betis,1349,1,0,3,0
Marc Pedraza,Mallorca,130,0,0,0,0
Pedrosa,Espanyol,1087,1,0,3,0
Ruben Penha,Villarreal,1909,2,2,5,0
Luis Perea,Osasuna,21,0,0,0,0
Victor Perea,Espanyol,1270,0,0,2,0
Gonzalo Pereira Cejudo,Levante,13,0,0,0,0
Carles Perez,Barcelona,476,1,2,0,0
Inhigo Perez,Osasuna,1082,2,1,4,0
Juan Perez,Osasuna,180,0,0,0,0
Kike Perez,Valladolid,218,0,0,1,0
Lucas Perez,Alaves,2496,11,5,4,0
Ruben Perez,Leganes,2194,1,1,9,0
Samuel Perez,Valladolid,26,0,0,0,0
Pablo Piatti,Espanyol,56,0,0,0,0
Cristiano Piccini,Valencia,75,0,0,0,0
Tomas Pina Isla,Alaves,1344,1,0,6,1
Pipa,Espanyol,473,0,0,3,0
Gerard Pique,Barcelona,3092,1,0,15,0
Oscar Plano,Valladolid,2505,4,2,6,0
Pere Pons,Alaves,1088,1,1,3,0
Pedro Porro,Valladolid,739,0,0,1,0
Francisco Portillo,Getafe,376,0,2,3,0
Portu,Real Sociedad,2393,7,7,5,0
Sergio Postigo,Levante,2374,1,1,6,0
Florent Poulolo,Getafe,1,0,0,0,0
Dario Poveda,Atletico Madrid,8,0,0,0,0
Alejandro Pozo Pozo,Mallorca,1498,1,2,0,0
Alejandro Pozo Pozo,Sevilla,37,0,0,0,0
Abdon Prats,Mallorca,279,0,0,1,0
Antonio Puertas,Granada,2563,7,3,7,0
Riqui Puig,Barcelona,510,0,2,1,0
Quini,Granada,718,0,0,2,0
Xavi Quintilla,Villarreal,1573,0,2,6,0
Quique,Eibar,490,0,1,0,0
Nemanja Radoja,Levante,1993,1,0,3,0
Rafinha,Barcelona,186,0,0,0,0
Rafinha,Celta Vigo,2111,4,1,5,0
Baba Rahman,Mallorca,108,0,0,1,0
Antonio Raillo,Mallorca,2775,1,0,9,1
Ivan Rakitic,Barcelona,1589,1,3,5,0
Sandro Ramirez,Valladolid,1306,3,1,2,0
